target,noise_level,r2_extra_mean,r2_extra_sd
knee_ext_moment,0.0,0.29538442337003545,0.0
knee_ext_moment,1.0,0.20398110125168167,0.03836431682490987
knee_ext_moment,2.0,-0.06353631542301702,0.08417818922309614
ankle_pf_moment,0.0,-0.06732199825430074,0.0
ankle_pf_moment,1.0,-0.13849517535965336,0.05356898457666201
ankle_pf_moment,2.0,-0.30355987437536636,0.11267171599278183
hip_abd_moment,0.0,0.15401690346750518,0.0
hip_abd_moment,1.0,0.023694478186561185,0.03246485937578117
hip_abd_moment,2.0,-0.3358253162296442,0.07620175553698479
vgrf_peak_bw,0.0,0.36842470699941177,0.0
vgrf_peak_bw,1.0,0.2759113723160011,0.04716551367139071
vgrf_peak_bw,2.0,0.031150981777684807,0.0988786889408687
loading_rate_bw_s,0.0,0.2956523692978993,0.0
loading_rate_bw_s,1.0,0.16787767525702182,0.028704935288281996
loading_rate_bw_s,2.0,-0.1926903243476743,0.07762519374937549
