r2,rmse,rel_rmse,spearman,r2_extra,target,feature_set,method,r2_extra_lo,r2_extra_hi,mean,n
0.14268603932818924,0.49884691044523394,0.16417672787619497,0.48006383263142866,0.0,knee_ext_moment,L0,ridge,0.0,0.0,3.0384751657458566,181
-0.05083749812316429,0.5522873802617564,0.18176465172003012,0.3303031272157816,-0.22573239948140378,knee_ext_moment,L0,gbm,-0.5397759984497125,0.02143519715127636,3.0384751657458566,181
0.1959118679161994,0.4831134905204645,0.15899866352926872,0.5134008392539402,0.06208440668142301,knee_ext_moment,L1,ridge,-0.07597765261737896,0.17196485637740086,3.0384751657458566,181
0.014668803913482908,0.5347963756292189,0.17600814436735476,0.4148935255925231,-0.14932363321645803,knee_ext_moment,L1,gbm,-0.42738337894625117,0.045111542475654576,3.0384751657458566,181
0.30738398663657196,0.44837728506001623,0.14756654591578758,0.6267136178738388,0.1921092561928207,knee_ext_moment,L2,ridge,-0.026682193643462755,0.39341283101485713,3.0384751657458566,181
0.2788472469464891,0.457520935709676,0.15057583516479656,0.5600750818433341,0.15882303784205354,knee_ext_moment,L2,gbm,-0.0704792217792796,0.31448379917585806,3.0384751657458566,181
0.39592322924831336,0.41873899527481423,0.13781221580990807,0.6825875781676886,0.29538442337003545,knee_ext_moment,L3,ridge,0.10933882172640715,0.46428751358759224,3.0384751657458566,181
0.31011190775154607,0.44749342981205853,0.14727565815145044,0.591679344804059,0.19529119564570974,knee_ext_moment,L3,gbm,-0.03480385456451075,0.35177222086856774,3.0384751657458566,181
0.17392485267481406,0.4896740811863314,0.16115783558366872,0.5097120191042842,0.03643800845392198,knee_ext_moment,Lang,ridge,-0.18266563572741104,0.16670046675172814,3.0384751657458566,181
0.12603182255598655,0.5036689154152666,0.16576370973617308,0.4587070556654483,-0.019426041725894683,knee_ext_moment,Lang,gbm,-0.2636587560757672,0.13807506564349029,3.0384751657458566,181
-0.02104639865070812,0.3265181302525878,0.14133458860527062,0.14572211670166943,0.0,ankle_pf_moment,L0,ridge,0.0,0.0,2.310249270718232,181
-0.22175230887998754,0.3571709642249929,0.15460278193874388,0.1015091329654843,-0.1965688439766382,ankle_pf_moment,L0,gbm,-0.5991077352844126,0.01259620429458226,2.310249270718232,181
-0.048324527980716736,0.3308509877936654,0.14321008212711495,0.22396962739536225,-0.02671585675837651,ankle_pf_moment,L1,ridge,-0.25089481813457554,0.11313159455967299,2.310249270718232,181
-0.3223591640705705,0.3715859432124697,0.16084235927361534,0.06007711639306553,-0.295101932505752,ankle_pf_moment,L1,gbm,-0.6894958585948944,-0.027209886810710092,2.310249270718232,181
0.14291421537519133,0.2991553045401093,0.12949048759881443,0.5180802622791573,0.16058096306159064,ankle_pf_moment,L2,ridge,-0.0517014332949308,0.3938909312954769,2.310249270718232,181
-0.05787717412448279,0.33235497586515655,0.14386108896458213,0.25292066802389046,-0.0360715982373041,ankle_pf_moment,L2,gbm,-0.3442299411961578,0.1527019259117769,2.310249270718232,181
-0.08978528251823126,0.33733005042986547,0.14601456851666622,0.3872057960455751,-0.06732199825430074,ankle_pf_moment,L3,ridge,-0.36002185057724406,0.28854166386266744,2.310249270718232,181
-0.06860746737848444,0.3340362998656085,0.14458885631928375,0.20691602176123897,-0.04658071248341611,ankle_pf_moment,L3,gbm,-0.3014628031573168,0.14670858834611142,2.310249270718232,181
0.011603725522026709,0.3212551598865832,0.13905649228349648,0.2537712747657499,0.03197712093777649,ankle_pf_moment,Lang,ridge,-0.07624140045619403,0.1076389277651083,2.310249270718232,181
-0.032056112121826796,0.328273795953628,0.14209453504191397,0.24954098548131287,-0.01078277489217716,ankle_pf_moment,Lang,gbm,-0.37533727402412287,0.1810446680753173,2.310249270718232,181
