target,mean,sd,p10,p90,n_legs,n_subjects
knee_ext_moment,2.8699615423728813,0.4440757574938894,2.295916,3.425378111111111,59,30
ankle_pf_moment,2.209389890772128,0.2663935637104147,1.9118988888888888,2.558447111111111,59,30
hip_abd_moment,1.6574133549905836,0.2859649222745774,1.293797,2.033871333333334,59,30
vgrf_peak_bw,2.371301716224077,0.13619520176574526,2.2003985728848114,2.554735530637671,59,30
loading_rate_bw_s,45.74327050948792,13.07610399351578,32.42019053286258,63.38750013959082,59,30
