feature,mean,sd,loh2025_mean,loh2025_sd
mass_kg,69.71694915254237,7.738916491530788,,
height_cm,175.88305084745767,6.730019022937016,,
cadence_spm,163.4656049526643,9.243995158447092,,
duty,0.7013477516661519,0.05449901692373379,,
contact_s,0.25843691148775894,0.024165841434372972,,
CPD,4.248646687458778,2.611251157654274,5.437727272727272,2.581515367165009
HADD,82.9994677049604,2.793927397824595,79.54145454545456,4.089881107654289
KA,4.365245746163076,3.877728607846386,1.6130909090909091,6.329369628880108
KF,37.74535598523009,4.457944679662948,40.75699999999999,3.410254565821106
knee_flex_contact,9.496741608612252,4.338968268291613,,
shank_angle_contact,-7.647850487576065,2.1456030710341945,,
foot_angle_contact,14.356336261182902,6.466015940036541,,
overstride,0.1530664255415222,0.031275493491524566,,
pelvis_vertical_osc,94.34959876782801,13.8435450404551,,
