target,cadence_change_pct,load_change_pct,lo,hi,expected_direction,show_on_screen
knee_ext_moment,5,-4.374872777219461,-7.473335292387062,-0.9254197989278888,下がる,True
ankle_pf_moment,5,-1.8688302059565187,-5.549896163442538,0.30369740184351124,一定しない,False
hip_abd_moment,5,-3.18757212171913,-7.609963705082244,-0.32529364472350325,下がる,True
vgrf_peak_bw,5,-2.020228586961106,-4.043435113856518,-0.17737757091266493,一定しない,False
loading_rate_bw_s,5,6.09456136459108,-2.641999559608561,13.604394601108524,一定しない,False
knee_ext_moment,10,-8.749745554438938,-14.946670584774123,-1.8508395978557777,下がる,True
ankle_pf_moment,10,-3.7376604119130374,-11.099792326885076,0.6073948036870219,一定しない,False
hip_abd_moment,10,-6.37514424343826,-15.219927410164487,-0.6505872894469307,下がる,True
vgrf_peak_bw,10,-4.040457173922212,-8.086870227713055,-0.3547551418253481,一定しない,False
loading_rate_bw_s,10,12.189122729182115,-5.283999119217168,27.208789202217,一定しない,False
