id,method,features,n_types,n_types_used,min_share,balance,silhouette,min_jaccard,mean_jaccard,boundary,uses_knee_valgus,type_names,passes_filter,shortlisted,shortlist_rank
kmeans:CPD×KF k=7,kmeans,CPD×KF,7,7,0.043209876543209874,0.9298096817931322,0.33162037895280894,0.4958156332304551,0.5600529358682492,斜め,False,骨盤が落ちる×膝の曲がりが深い（20%） / 骨盤が安定×膝の曲がりが浅い（14%） / 骨盤が落ちる×膝の曲がりが浅い（23%） / 膝の曲がりが深い（21%） / 骨盤が安定×膝の曲がりが深い（13%） / 膝の曲がりが浅い（4%） / 骨盤が落ちる（5%）,False,False,
kmeans:CPD×KF k=8,kmeans,CPD×KF,8,8,0.043209876543209874,0.9677772903462722,0.32942200840263935,0.5284122051792076,0.5702030856477892,斜め,False,骨盤が落ちる×膝の曲がりが深い（14%） / 骨盤が安定×膝の曲がりが浅い（14%） / 膝の曲がりが浅い（13%） / 膝の曲がりが深い（19%） / 骨盤が落ちる×膝の曲がりが浅い（7%） / 膝の曲がりが浅い（4%） / 骨盤が安定×膝の曲がりが深い（13%） / 平均的（16%）,False,False,
kmeans:CPD×ALIGN k=2,kmeans,CPD×ALIGN,2,2,0.4506172839506173,0.9929520513151762,0.4011086217419563,0.9698920836094364,0.9722002143131917,斜め,True,骨盤が安定×膝が外に開く（45%） / 膝が内に入る（55%）,False,False,
kmeans:CPD×ALIGN k=3,kmeans,CPD×ALIGN,3,3,0.21604938271604937,0.964648260621035,0.35860777766983537,0.6172975187803653,0.6957053456042178,斜め,True,骨盤が落ちる×膝が内に入る（35%） / 骨盤が安定×膝が外に開く（44%） / 骨盤が安定×膝が内に入る（22%）,True,False,
kmeans:CPD×ALIGN k=4,kmeans,CPD×ALIGN,4,4,0.19753086419753085,0.9870534086340704,0.3796087451759516,0.758285747957358,0.8338746427333856,斜め,True,骨盤が落ちる×膝が内に入る（31%） / 骨盤が安定×膝が外に開く（21%） / 膝が外に開く（28%） / 骨盤が安定×膝が内に入る（20%）,True,True,3.0
kmeans:CPD×ALIGN k=5,kmeans,CPD×ALIGN,5,5,0.10493827160493827,0.9527311786511744,0.3888978245260748,0.7005248441808736,0.7840066168636093,斜め,True,骨盤が安定×膝が内に入る（12%） / 膝が外に開く（27%） / 骨盤が安定×膝が外に開く（20%） / 骨盤が落ちる（10%） / 膝が内に入る（30%）,True,False,
kmeans:CPD×ALIGN k=6,kmeans,CPD×ALIGN,6,6,0.10493827160493827,0.9771266126231937,0.3688709319279581,0.521610617608014,0.7094173006379932,斜め,True,平均的（19%） / 骨盤が安定×膝が内に入る（13%） / 骨盤が安定×膝が外に開く（19%） / 骨盤が落ちる（10%） / 膝が外に開く（14%） / 骨盤が落ちる×膝が内に入る（25%）,False,False,
kmeans:CPD×ALIGN k=7,kmeans,CPD×ALIGN,7,7,0.043209876543209874,0.9527513191142375,0.3775905253836579,0.5258034664905743,0.6847207230570065,斜め,True,平均的（19%） / 膝が内に入る（25%） / 骨盤が安定×膝が外に開く（4%） / 膝が外に開く（14%） / 骨盤が安定×膝が内に入る（11%） / 骨盤が落ちる（12%） / 骨盤が安定×膝が外に開く（15%）,False,False,
kmeans:CPD×ALIGN k=8,kmeans,CPD×ALIGN,8,8,0.024691358024691357,0.9243406217175221,0.394614704573896,0.5341782458965058,0.6717528659484917,斜め,True,骨盤が安定×膝が外に開く（15%） / 骨盤が落ちる（10%） / 平均的（17%） / 骨盤が安定×膝が内に入る（13%） / 膝が外に開く（15%） / 骨盤が安定×膝が外に開く（4%） / 骨盤が落ちる×膝が内に入る（24%） / 骨盤が安定×膝が外に開く（2%）,False,False,
kmeans:ALIGN×KF k=2,kmeans,ALIGN×KF,2,2,0.5,1.0,0.3604674761058474,0.8246722650095551,0.825513383285043,斜め,True,膝が外に開く（50%） / 膝が内に入る（50%）,False,False,
kmeans:ALIGN×KF k=3,kmeans,ALIGN×KF,3,3,0.24691358024691357,0.9793711411583503,0.3868110249610152,0.7164199356969736,0.8103955683223555,斜め,True,膝が内に入る×膝の曲がりが浅い（25%） / 膝が内に入る×膝の曲がりが深い（33%） / 膝が外に開く（42%）,True,False,
kmeans:ALIGN×KF k=4,kmeans,ALIGN×KF,4,4,0.16666666666666666,0.9814629841989324,0.35931455879001556,0.6186219285305932,0.735343271899715,斜め,True,膝が内に入る×膝の曲がりが深い（31%） / 膝が外に開く×膝の曲がりが浅い（17%） / 膝が内に入る×膝の曲がりが浅い（23%） / 膝が外に開く×膝の曲がりが深い（29%）,True,False,
kmeans:ALIGN×KF k=5,kmeans,ALIGN×KF,5,5,0.09876543209876543,0.9588141993243455,0.3631386466646853,0.6464415114684077,0.7394050755582157,斜め,True,膝が外に開く×膝の曲がりが浅い（17%） / 膝が外に開く×膝の曲がりが深い（30%） / 膝が内に入る×膝の曲がりが深い（17%） / 膝の曲がりが浅い（10%） / 膝が内に入る（27%）,False,False,
kmeans:ALIGN×KF k=6,kmeans,ALIGN×KF,6,6,0.08024691358024691,0.9557387819958789,0.3613446720075525,0.5274737000923648,0.6595939296526332,斜め,True,膝の曲がりが浅い（9%） / 平均的（22%） / 膝が外に開く×膝の曲がりが浅い（17%） / 膝が外に開く×膝の曲がりが深い（27%） / 膝が内に入る×膝の曲がりが深い（18%） / 膝が内に入る×膝の曲がりが浅い（8%）,False,False,
kmeans:ALIGN×KF k=7,kmeans,ALIGN×KF,7,7,0.06172839506172839,0.9486757301356479,0.36124736697099474,0.5869631527892556,0.670075889323706,斜め,True,膝が外に開く×膝の曲がりが深い（23%） / 膝が内に入る×膝の曲がりが浅い（7%） / 膝が内に入る（22%） / 膝が外に開く（17%） / 膝の曲がりが浅い（10%） / 膝が外に開く×膝の曲がりが浅い（6%） / 膝が内に入る×膝の曲がりが深い（15%）,False,False,
kmeans:ALIGN×KF k=8,kmeans,ALIGN×KF,8,8,0.037037037037037035,0.9279361638254513,0.3714319483290515,0.6025023622739359,0.7091241176648786,斜め,True,膝が外に開く×膝の曲がりが浅い（6%） / 膝が外に開く×膝の曲がりが深い（25%） / 膝が内に入る（20%） / 膝の曲がりが浅い（10%） / 膝が内に入る×膝の曲がりが深い（14%） / 膝が外に開く（14%） / 膝が内に入る×膝の曲がりが浅い（7%） / 膝の曲がりが浅い（4%）,False,False,
