model,term,OR_per_SD,lo,hi,p_boot
骨盤の傾きだけ,骨盤の傾き,0.8995296694406933,0.5398027248144527,1.4019354923507237,0.605
股関節の内転だけ,股関節の内転,0.7193983681343733,0.4455688505333212,1.1012812716545153,0.128
膝の屈曲だけ,膝の屈曲,0.5509247275367681,0.26776250176678323,0.8834920996523229,0.021
膝の外反だけ,膝の外反,0.810900872806605,0.46161827303551106,1.329692339889973,0.392
4つの角度を一緒に,骨盤の傾き,0.6851098844864619,0.3508678263224072,1.2205976941377505,0.187
4つの角度を一緒に,股関節の内転,0.5405815416442155,0.24285107265797362,1.132803654313438,0.093
4つの角度を一緒に,膝の屈曲,0.5138006647277719,0.22936829931496186,0.8402426861798457,0.008
4つの角度を一緒に,膝の外反,1.163080638577035,0.49138262907950053,2.676749916141811,0.644
