model,term,HR_per_SD,lo,hi,p
直線（ピッチ・Duty factor、1SDあたり）,cadence_10_z,1.005292422290374,0.8223780685354866,1.2288908143114454,0.958916475485931
直線（ピッチ・Duty factor、1SDあたり）,duty_10_z,0.96290151457068,0.7811347175466941,1.1869646885936616,0.723207366236538
直線＋性別,cadence_10_z,1.0052844216727446,0.8000405424358356,1.2631819449811892,0.9639200370899106
直線＋性別,duty_10_z,0.9629053946360036,0.7755973356072554,1.195448664471204,0.731986179049717
直線＋ケガ歴＋練習量,cadence_10_z,1.019418729368872,0.8016283795077204,1.2963794351021185,0.8753714980582983
直線＋ケガ歴＋練習量,duty_10_z,0.9247774401007496,0.7409832498442794,1.1541601161686474,0.4890975041641008
曲線（2乗の項を足したときの尤度比検定）,cadence_z2 + duty_z2,,,,0.11380599595218065
