group,side,n_limbs,corr_CPD_HADD,corr_HADD_KA,corr_CPD_KA
Loh 2025 ケガなし（参加時）,L,55,-0.4558400518984886,0.6346257375401302,0.032092766653950035
Loh 2025 ケガなし（参加時）,R,55,-0.16376028379463167,0.7215506626760834,0.18769382483469738
Loh 2025 ケガあり（参加時、ケガの前）,L,14,-0.29719337549046876,0.7393071694470358,-0.06970168225370822
Loh 2025 ケガあり（参加時、ケガの前）,R,13,-0.6640037318750007,0.42188047920667865,-0.2403875097490948
Loh & Kong 2026 健常群,L,44,-0.22442848121027806,-0.7065569289542812,-0.18620179420878563
Loh & Kong 2026 健常群,R,44,-0.42921941257675017,-0.5544779747049247,-0.16051772269675024
Loh & Kong 2026 受傷群（ケガの後）,L,98,-0.28933672056176446,0.714169958668716,-0.016200467676609327
Loh & Kong 2026 受傷群（ケガの後）,R,104,-0.2209526985454624,0.7932905303806883,-0.00532391129066311
