model,metric,est,lo,hi
F0 予測なし,auc,0.5,0.5,0.5
F0 予測なし,brier,0.2181150125100446,0.18272369159315874,0.25356910892185336
F0 予測なし,calib_slope,-3.7368506521148377,-6.387533908788709,7.762763870517656
F0 予測なし,calib_intercept,0.0005992277257175583,-0.5030240667443061,0.4262143893155919
F1 タイプ（組み合わせA、2タイプ）,auc,0.5113461538461539,0.4198272321848049,0.6132258136382448
F1 タイプ（組み合わせA、2タイプ）,brier,0.2226142984321649,0.18648157708422838,0.2607397361722046
F1 タイプ（組み合わせA、2タイプ）,calib_slope,-0.37473089056528736,-2.200032249443897,1.6952524080598934
F1 タイプ（組み合わせA、2タイプ）,calib_intercept,0.007357616207236827,-0.5069268361865205,0.4411702801847548
F2 変数そのまま（4つの角度）,auc,0.6435664335664336,0.5203545136007747,0.7631207000145658
F2 変数そのまま（4つの角度）,brier,0.21538242433612587,0.18050857403950243,0.2510377316075143
F2 変数そのまま（4つの角度）,calib_slope,0.6488429135485986,-0.21191660846827612,1.9029730352892773
F2 変数そのまま（4つの角度）,calib_intercept,0.02067197219371075,-0.4672498013876498,0.44293231773196073
F3 ＋性別・年齢・週の走行距離,auc,0.5860314685314685,0.46508770963910084,0.7099434393798457
F3 ＋性別・年齢・週の走行距離,brier,0.2210554596661496,0.18617355802424607,0.2569795087889951
F3 ＋性別・年齢・週の走行距離,calib_slope,0.526356764826266,-0.8617069359053018,2.4648776448978644
F3 ＋性別・年齢・週の走行距離,calib_intercept,0.008170117675956413,-0.49548431322047254,0.4258579520483631
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,auc,0.6777622377622378,0.5477467453004146,0.7954190509200583
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,brier,0.21016874547417788,0.17413763833663287,0.24585237642008767
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,calib_slope,0.7866472758638587,-0.02006396319186146,2.0502632938209566
参考 F2-KF 膝の屈曲だけ（事後に選んだ項目）,calib_intercept,0.004216698315123951,-0.47382041838961353,0.4426121085235551
