model,p10,p50,p90
R0 予測なし,0.8152369486931548,0.8371202687796915,0.8557797427766674
R1 タイプ（組み合わせB、3タイプ）,0.6890168654874539,0.8599984148371245,0.8994970147679506
R2 変数そのまま（直線）,0.7847240651123312,0.8267835852362568,0.8712246230580084
R2b 変数そのまま（曲線）,0.7720505296586524,0.8287410437284088,0.8875981097495805
R3 ＋ケガ歴,0.77611418603271,0.8274647538978779,0.8777313497327411
R4 ＋ケガ歴＋練習量＋性別,0.7671407250590201,0.827566435403079,0.8898440344544072
