features,split,repeat,fold,auc,n_test
全257項目（項目選択なし）,人ごとに10分割,3,4,0.5297162576687117,521
全257項目（項目選択なし）,人ごとに10分割,3,5,0.5269921067468522,694
全257項目（項目選択なし）,人ごとに10分割,3,6,0.4023768893222818,656
全257項目（項目選択なし）,人ごとに10分割,3,7,0.5655737704918034,612
全257項目（項目選択なし）,人ごとに10分割,3,8,0.5561165845648605,649
全257項目（項目選択なし）,人ごとに10分割,3,9,0.5840325451309433,730
全257項目（項目選択なし）,人ごとに10分割,3,pooled,0.5071706395352507,6181
全257項目（項目選択なし）,人ごとに10分割,4,0,0.5039319416642837,590
全257項目（項目選択なし）,人ごとに10分割,4,1,0.5645297805642634,635
全257項目（項目選択なし）,人ごとに10分割,4,2,0.33066775097135626,569
全257項目（項目選択なし）,人ごとに10分割,4,3,0.5512248679064021,553
全257項目（項目選択なし）,人ごとに10分割,4,4,0.5318908941755538,513
全257項目（項目選択なし）,人ごとに10分割,4,5,0.5744483159117304,671
全257項目（項目選択なし）,人ごとに10分割,4,6,0.5205185790118416,615
全257項目（項目選択なし）,人ごとに10分割,4,7,0.5234511507163896,673
全257項目（項目選択なし）,人ごとに10分割,4,8,0.4714482284141727,718
全257項目（項目選択なし）,人ごとに10分割,4,9,0.5777112512919206,644
全257項目（項目選択なし）,人ごとに10分割,4,pooled,0.5107980206995735,6181
