features,split,mean,std,pooled_oof_auc
39項目から追跡中のケガの記録を除く,人ごとに10分割,0.49487240544630645,0.061910333923130306,0.4855892130904536
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0.7431704363197372,0.031638653605228766,0.7430113371641559
全257項目（項目選択なし）,人ごとに10分割,0.5323608449287247,0.07231960678182682,0.517959379896641
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0.7560235282424252,0.03300972302544165,0.755925780021894
根拠の強い39項目（class 1）,人ごとに10分割,0.4760339800876819,0.0755586162980708,0.46665763885469264
根拠の強い39項目（class 1）,行をランダムに10分割（論文と同じ）,0.756821106408872,0.031220638048516488,0.7565728153010681
